loan_id,customer_id,loan_type,loan_amount,interest_rate,issue_date,due_date,status
201,101,Personal,10000,12.5,2021-06-01,2024-06-01,Active
202,102,CreditCard,5000,18.0,2020-04-01,2021-04-01,Defaulted
203,103,Business,25000,10.0,2022-02-01,2025-02-01,Active
204,104,Personal,15000,11.0,2021-07-15,2024-07-15,Active
205,105,CreditCard,3000,19.5,2023-03-10,2024-03-10,Active
206,106,Business,40000,9.5,2020-12-01,2023-12-01,Closed
207,107,Personal,12000,13.0,2021-05-20,2024-05-20,Active
208,108,CreditCard,4500,17.0,2022-08-01,2023-08-01,Defaulted
209,109,Business,30000,10.5,2021-09-10,2024-09-10,Active
210,110,Personal,8000,14.0,2023-01-05,2026-01-05,Active
211,111,CreditCard,6000,16.5,2020-11-01,2021-11-01,Closed
212,112,Business,35000,9.0,2019-07-20,2022-07-20,Defaulted
213,113,Personal,9500,12.0,2022-06-30,2025-06-30,Active
214,114,CreditCard,4000,18.5,2021-03-25,2022-03-25,Closed
215,115,Business,28000,10.0,2023-05-12,2026-05-12,Active
216,116,Personal,11000,13.5,2019-09-10,2022-09-10,Defaulted
217,117,CreditCard,3500,17.5,2022-11-01,2023-11-01,Active
218,118,Business,32000,9.8,2020-02-17,2023-02-17,Closed
219,119,Personal,7000,14.2,2021-07-08,2024-07-08,Active
220,120,CreditCard,5500,16.8,2020-10-30,2021-10-30,Defaulted
221,121,Business,26000,10.2,2022-03-10,2025-03-10,Active
222,122,Personal,10500,12.7,2020-07-15,2023-07-15,Closed
223,123,CreditCard,4800,18.2,2023-01-22,2024-01-22,Active
224,124,Business,29000,9.6,2021-06-05,2024-06-05,Active
225,125,Personal,8700,13.1,2023-04-18,2026-04-18,Active
226,126,CreditCard,5200,17.9,2019-10-30,2020-10-30,Defaulted
227,127,Business,31000,10.4,2020-05-12,2023-05-12,Closed
228,128,Personal,9400,12.3,2022-08-10,2025-08-10,Active
229,129,CreditCard,3900,18.7,2021-11-25,2022-11-25,Closed
230,130,Business,27000,9.9,2023-02-01,2026-02-01,Active
231,131,Personal,10000,13.0,2020-09-01,2023-09-01,Defaulted
232,132,CreditCard,4300,16.9,2018-06-20,2019-06-20,Closed
233,133,Business,34000,10.1,2022-07-30,2025-07-30,Active
234,134,Personal,8900,12.8,2021-04-15,2024-04-15,Active
235,135,CreditCard,4700,17.2,2023-06-12,2024-06-12,Active
236,136,Business,36000,9.7,2019-08-10,2022-08-10,Defaulted
237,137,Personal,9800,13.2,2022-10-01,2025-10-01,Active
238,138,CreditCard,5100,18.1,2020-01-17,2021-01-17,Closed
239,139,Business,33000,10.3,2021-05-08,2024-05-08,Active
240,140,Personal,7600,14.5,2020-11-30,2023-11-30,Defaulted
241,141,CreditCard,4900,16.7,2022-02-20,2023-02-20,Active
242,142,Business,30000,9.4,2020-06-25,2023-06-25,Closed
243,143,Personal,9200,12.6,2023-03-18,2026-03-18,Active
244,144,CreditCard,5300,17.8,2021-07-05,2022-07-05,Closed
245,145,Business,25000,10.0,2023-05-22,2026-05-22,Active
246,146,Personal,11500,13.4,2019-12-10,2022-12-10,Defaulted
247,147,CreditCard,4600,18.3,2020-04-14,2021-04-14,Closed
248,148,Business,31000,9.6,2022-09-10,2025-09-10,Active
249,149,Personal,8800,12.9,2021-10-15,2024-10-15,Active
250,150,CreditCard,5000,17.6,2023-01-10,2024-01-10,Active
251,151,Business,27000,10.0,2021-08-01,2024-08-01,Active
252,152,Personal,9400,13.2,2022-05-15,2025-05-15,Active
253,153,CreditCard,4200,17.5,2020-03-10,2021-03-10,Defaulted
254,154,Business,31000,9.7,2023-04-01,2026-04-01,Active
255,155,Personal,8800,12.9,2021-12-20,2024-12-20,Closed
256,156,CreditCard,4700,18.3,2022-07-10,2023-07-10,Active
257,157,Business,29000,10.1,2020-06-05,2023-06-05,Defaulted
258,158,Personal,10200,13.0,2023-02-18,2026-02-18,Active
259,159,CreditCard,5300,16.8,2021-10-01,2022-10-01,Closed
260,160,Business,34000,9.9,2022-01-25,2025-01-25,Active
261,161,Personal,9700,12.5,2020-08-15,2023-08-15,Defaulted
262,162,CreditCard,4900,17.2,2023-03-30,2024-03-30,Active
263,163,Business,32000,10.4,2021-05-10,2024-05-10,Closed
